Date,Open,High,Low,Close
12/29/2022,"110,237.41","111,177.53","109,560.31","109,734.60"
12/28/2022,"108,578.38","110,535.56","108,578.38","110,236.71"
12/27/2022,"108,739.34","109,352.67","107,418.40","108,578.20"
12/26/2022,"109,698.84","109,755.23","108,308.77","108,737.75"
12/23/2022,"107,551.70","109,994.23","107,551.70","109,697.57"
12/22/2022,"107,436.30","108,382.66","106,509.70","107,551.52"
12/21/2022,"106,865.92","107,991.07","106,065.73","107,433.14"
12/20/2022,"104,739.56","107,792.12","104,606.87","106,864.11"
12/19/2022,"102,859.17","105,107.19","102,769.76","104,739.75"
12/16/2022,"103,737.17","104,017.56","102,248.42","102,855.70"
12/15/2022,"103,739.25","105,482.72","103,014.26","103,737.69"
12/14/2022,"103,536.10","104,515.83","101,631.98","103,745.77"
12/13/2022,"105,345.14","106,689.38","103,409.27","103,539.67"
12/12/2022,"107,518.28","107,561.12","103,876.71","105,343.33"
12/09/2022,"107,249.76","108,565.57","107,089.22","107,519.56"
12/08/2022,"109,067.66","109,285.75","106,905.81","107,249.04"
12/07/2022,"110,188.05","110,246.79","108,612.02","109,068.55"
12/06/2022,"109,402.99","110,662.73","109,217.24","110,188.57"
12/05/2022,"111,921.65","112,149.58","109,270.18","109,401.41"
12/02/2022,"110,925.74","113,760.75","109,963.02","111,923.93"
12/01/2022,"112,478.68","112,478.76","110,547.84","110,925.60"
11/30/2022,"110,909.69","112,486.01","110,202.25","112,486.01"
11/29/2022,"108,783.98","112,187.11","108,783.98","110,909.61"
11/28/2022,"108,976.70","109,476.06","108,377.75","108,782.15"
11/25/2022,"111,831.16","112,025.47","108,551.96","108,976.70"
11/24/2022,"108,845.74","112,612.16","108,845.74","111,831.16"
11/23/2022,"109,035.80","109,285.24","107,901.91","108,841.15"
11/22/2022,"109,749.71","110,223.73","107,867.47","109,036.54"
11/21/2022,"108,868.18","110,235.29","107,957.01","109,748.18"
11/18/2022,"109,706.43","111,584.86","108,511.71","108,870.17"
11/17/2022,"110,240.66","110,241.80","107,245.13","109,702.78"
11/16/2022,"113,166.25","113,473.39","109,512.22","110,243.33"
11/14/2022,"112,255.54","114,322.31","111,930.35","113,161.28"
11/11/2022,"109,775.46","113,009.62","109,408.10","112,253.49"
11/10/2022,"113,578.78","113,578.78","108,516.46","109,775.46"
11/09/2022,"116,153.42","116,182.73","113,109.53","113,580.09"
11/08/2022,"115,339.64","117,072.45","114,687.75","116,160.35"
11/07/2022,"118,148.47","118,239.86","115,220.95","115,342.40"
11/04/2022,"116,907.18","120,039.37","116,904.14","118,155.46"
11/03/2022,"116,927.42","117,373.01","114,485.13","116,896.36"
11/01/2022,"116,037.26","118,261.20","115,547.46","116,928.66"
10/31/2022,"114,533.14","116,763.47","112,113.34","116,037.08"
10/28/2022,"114,636.18","114,712.07","113,336.06","114,539.05"
10/27/2022,"112,765.63","116,235.76","112,765.24","114,640.76"
10/26/2022,"114,625.59","114,625.59","112,577.15","112,763.79"
10/25/2022,"116,015.67","116,203.11","114,625.59","114,625.59"
10/24/2022,"117,170.19","120,751.55","116,735.71","116,012.70"
10/21/2022,"117,170.19","120,751.55","116,735.71","119,928.79"
10/20/2022,"116,276.16","117,366.58","116,276.16","117,171.11"
10/19/2022,"115,744.37","116,459.14","115,264.36","116,274.24"
10/18/2022,"113,626.63","115,795.05","113,626.63","115,743.07"
10/17/2022,"112,106.80","114,406.03","112,090.36","113,623.98"
10/14/2022,"114,300.68","114,712.03","111,631.40","112,072.34"
10/13/2022,"114,819.20","115,366.95","112,690.12","114,300.09"
10/11/2022,"115,927.72","115,927.72","114,296.52","114,827.12"
10/10/2022,"116,377.15","116,840.61","115,261.12","115,940.64"
10/07/2022,"117,560.47","117,960.40","115,924.33","116,375.25"
10/06/2022,"117,199.70","118,382.31","117,143.65","117,560.83"
10/05/2022,"116,230.86","117,514.25","115,906.33","117,197.82"
10/04/2022,"116,147.46","118,280.11","115,837.20","116,230.12"
10/03/2022,"110,047.56","116,134.46","110,047.56","116,134.46"
09/30/2022,"107,664.35","110,502.20","107,315.15","110,036.79"
09/29/2022,"108,448.54","108,448.54","106,243.52","107,664.35"
09/28/2022,"108,376.50","108,970.15","107,914.01","108,451.20"
09/27/2022,"109,121.86","110,161.07","108,120.26","108,376.35"
